"Rank","Player","Team","Bye","POS","ESPN","RTSports","MFL","Fantrax","FFC","Sleeper","AVG"
"199","D'Onta Foreman","CAR","4","RB58","","163","200","130","","","164.3"
"200","Antonio Gates","","","TE23","135","243","195","284","","","214.3"
"201","Adam Vinatieri","","","K12","191","269","234","319","189","","240.4"
"202","Doug Martin","","","RB59","","162","205","153","","","173.3"
"203","Nyheim Hines","BUF","11","RB60","","182","209","145","","","178.7"
"204","Mike Gesicki","MIA","11","TE24","","174","183","182","","","179.7"
"205","Javorius Allen","","","RB61","","183","178","186","","","182.3"
"206","Tyrell Williams","","","WR71","","198","172","179","","","183.0"
"207","Daniel Carlson","LV","","K13","","228","258","221","188","","223.8"
"208","Blake Bortles","","","QB25","","206","180","166","","","184.0"
"209","Andy Dalton","N","6 O","QB26","","190","190","173","","","184.3"
"210","Ted Ginn Jr.","","","WR72","","247","153","163","","","187.7"
"211","Case Keenum","BUF","11","QB27","","209","188","167","","","188.0"
"212","Mike Wallace ","","","WR73","186","240","267","218","","","227.8"
"213","Christian Kirk","JAC","9 ","WR74","","214","182","171","","","189.0"
"214","Martavis Bryant ","","","WR75","","205","226","140","","","190.3"
"215","Vance McDonald","","","TE25","","212","194","175","","","193.7"
"216","T.J. Yeldon","","","RB62","","165","201","220","","","195.3"
"217","Austin Hooper","TEN","8","TE26","","199","210","178","","","195.7"
"218","Robert Kelley","","","RB63","","219","189","195","","","201.0"
"219","Hayden Hurst","CIN","9","TE27","","200","213","200","","","204.3"
"220","Graham Gano","NYG","9 ","K14","192","260","237","270","","","239.8"
"221","Frank Gore ","","","RB64","","217","229","180","","","208.7"
"222","Spencer Ware","","","RB65","","210","208","211","","","209.7"
"223","Samaje Perine","CIN","9","RB66","","187","246","198","","","210.3"
"224","Chris Ivory","","","RB67","","221","230","192","","","214.3"
"225","Atlanta Falcons","DST","8","DST15","","227","241","","181","","216.3"
"226","Ryan Tannehill","TEN","8","QB28","","237","227","187","","","217.0"
"227","Donte Moncrief","","","WR76","","235","221","205","","","220.3"
"228","Tennessee Titans","DST","8","DST16","183","246","235","","","","221.3"
"229","James Washington","DAL","8","WR77","","239","216","228","","","227.7"
"230","Kalen Ballage","","","RB68","","232","250","204","","","228.7"
"231","Joe Flacco","NYJ","11","QB29","","248","223","216","","","229.0"
"232","Jeremy Hill ","","","RB69","","211","273","219","","","234.3"
"233","Terrance Williams","","","WR78","","256","218","229","","","234.3"
"234","Baker Mayfield","CAR","4","QB30","","262","202","243","","","235.7"
"235","Ryan Succop","TB","5","K15","","215","263","242","","","240.0"
"236","Taywan Taylor","","","WR79","","231","240","251","","","240.7"
